N,step,algorithm,status,time_sec,max_ram_kb,output
87500,algorithm,sl,OK,152,66343612,experiments_salmonella_algorithms/tree_sl_87500.nwk
87500,algorithm,cl,OK,154,79378960,experiments_salmonella_algorithms/tree_cl_87500.nwk
87500,algorithm,upgma,OK,154,68673928,experiments_salmonella_algorithms/tree_upgma_87500.nwk
87500,algorithm,upgmc,OK,152,74442728,experiments_salmonella_algorithms/tree_upgmc_87500.nwk
87500,algorithm,wpgma,OK,150,68686292,experiments_salmonella_algorithms/tree_wpgma_87500.nwk
87500,algorithm,wpgmc,OK,151,69513096,experiments_salmonella_algorithms/tree_wpgmc_87500.nwk
100000,distance,,OK,22431,74833116,experiments_salmonella_algorithms/dist_100000.txt
50000,algorithm,sl,OK,63,33961200,experiments_salmonella_algorithms/tree_sl_50000.nwk
50000,algorithm,cl,OK,55,33798140,experiments_salmonella_algorithms/tree_cl_50000.nwk
50000,algorithm,upgma,OK,57,34004072,experiments_salmonella_algorithms/tree_upgma_50000.nwk
50000,algorithm,upgmc,OK,57,40751608,experiments_salmonella_algorithms/tree_upgmc_50000.nwk
50000,algorithm,wpgma,OK,60,43646344,experiments_salmonella_algorithms/tree_wpgma_50000.nwk
50000,algorithm,wpgmc,OK,57,33982176,experiments_salmonella_algorithms/tree_wpgmc_50000.nwk
62500,algorithm,sl,OK,91,49840968,experiments_salmonella_algorithms/tree_sl_62500.nwk
62500,algorithm,cl,OK,87,55535132,experiments_salmonella_algorithms/tree_cl_62500.nwk
62500,algorithm,upgma,OK,86,46436104,experiments_salmonella_algorithms/tree_upgma_62500.nwk
62500,algorithm,upgmc,OK,85,44594516,experiments_salmonella_algorithms/tree_upgmc_62500.nwk
62500,algorithm,wpgma,OK,84,49183484,experiments_salmonella_algorithms/tree_wpgma_62500.nwk
62500,algorithm,wpgmc,OK,89,57645508,experiments_salmonella_algorithms/tree_wpgmc_62500.nwk
75000,algorithm,sl,FAIL,557,360639812,experiments_salmonella_algorithms/tree_sl_75000.nwk
75000,algorithm,cl,FAIL,528,361041056,experiments_salmonella_algorithms/tree_cl_75000.nwk
75000,algorithm,upgma,FAIL,533,361343968,experiments_salmonella_algorithms/tree_upgma_75000.nwk
75000,algorithm,upgmc,FAIL,555,360524792,experiments_salmonella_algorithms/tree_upgmc_75000.nwk
75000,algorithm,wpgma,FAIL,552,360875168,experiments_salmonella_algorithms/tree_wpgma_75000.nwk
75000,algorithm,wpgmc,FAIL,553,355698192,experiments_salmonella_algorithms/tree_wpgmc_75000.nwk
87500,algorithm,sl,OK,169,75654636,experiments_salmonella_algorithms/tree_sl_87500.nwk
87500,algorithm,cl,OK,169,115809596,experiments_salmonella_algorithms/tree_cl_87500.nwk
87500,algorithm,upgma,OK,172,119420484,experiments_salmonella_algorithms/tree_upgma_87500.nwk
